Id,Order,Problem,Trial,High,Phigh,Low,Medium,risky_side,side,Choice,Payoff,total_points
98.0,3.0,39.0,1,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-6.9
98.0,3.0,39.0,2,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-15.1
98.0,3.0,39.0,3,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-22.0
98.0,3.0,39.0,4,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-14.6
98.0,3.0,39.0,5,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-7.199999999999999
98.0,3.0,39.0,6,7.4,0.3,-8.2,-6.9,right,right,1,7.4,0.20000000000000107
98.0,3.0,39.0,7,7.4,0.3,-8.2,-6.9,right,right,1,7.4,7.600000000000001
98.0,3.0,39.0,8,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-0.5999999999999979
98.0,3.0,39.0,9,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-7.499999999999998
98.0,3.0,39.0,10,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-15.699999999999998
98.0,3.0,39.0,11,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-22.599999999999998
98.0,3.0,39.0,12,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-15.199999999999998
98.0,3.0,39.0,13,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-23.4
98.0,3.0,39.0,14,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-15.999999999999998
98.0,3.0,39.0,15,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-24.199999999999996
98.0,3.0,39.0,16,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-31.099999999999994
98.0,3.0,39.0,17,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-39.3
98.0,3.0,39.0,18,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-46.199999999999996
98.0,3.0,39.0,19,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-54.39999999999999
98.0,3.0,39.0,20,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-61.29999999999999
98.0,3.0,39.0,21,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-53.89999999999999
98.0,3.0,39.0,22,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-46.49999999999999
98.0,3.0,39.0,23,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-54.69999999999999
98.0,3.0,39.0,24,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-62.89999999999999
98.0,3.0,39.0,25,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-55.49999999999999
98.0,3.0,39.0,26,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-63.69999999999999
98.0,3.0,39.0,27,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-71.89999999999999
98.0,3.0,39.0,28,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-80.1
98.0,3.0,39.0,29,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-87.0
98.0,3.0,39.0,30,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-95.2
98.0,3.0,39.0,31,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-102.10000000000001
98.0,3.0,39.0,32,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-110.30000000000001
98.0,3.0,39.0,33,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-118.50000000000001
98.0,3.0,39.0,34,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-125.40000000000002
98.0,3.0,39.0,35,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-133.60000000000002
98.0,3.0,39.0,36,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-140.50000000000003
98.0,3.0,39.0,37,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-148.70000000000002
98.0,3.0,39.0,38,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-155.60000000000002
98.0,3.0,39.0,39,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-148.20000000000002
98.0,3.0,39.0,40,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-156.4
98.0,3.0,39.0,41,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-164.6
98.0,3.0,39.0,42,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-172.79999999999998
98.0,3.0,39.0,43,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-180.99999999999997
98.0,3.0,39.0,44,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-173.59999999999997
98.0,3.0,39.0,45,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-181.79999999999995
98.0,3.0,39.0,46,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-174.39999999999995
98.0,3.0,39.0,47,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-166.99999999999994
98.0,3.0,39.0,48,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-159.59999999999994
98.0,3.0,39.0,49,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-152.19999999999993
98.0,3.0,39.0,50,7.4,0.3,-8.2,-6.9,right,right,1,7.4,-144.79999999999993
98.0,3.0,39.0,51,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-152.99999999999991
98.0,3.0,39.0,52,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-161.1999999999999
98.0,3.0,39.0,53,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-168.0999999999999
98.0,3.0,39.0,54,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-176.2999999999999
98.0,3.0,39.0,55,7.4,0.3,-8.2,-6.9,right,right,1,-8.2,-184.4999999999999
98.0,3.0,39.0,56,7.4,0.3,-8.2,-6.9,right,left,0,-6.9,-191.3999999999999
