Id,Order,Problem,Trial,High,Phigh,Low,Medium,risky_side,side,Choice,Payoff,total_points
56.0,8.0,11.0,1,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-12.1
56.0,8.0,11.0,2,-1.2,0.02,-12.3,-12.1,right,right,1,-12.3,-24.4
56.0,8.0,11.0,3,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-36.5
56.0,8.0,11.0,4,-1.2,0.02,-12.3,-12.1,right,right,1,-12.3,-48.8
56.0,8.0,11.0,5,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-60.9
56.0,8.0,11.0,6,-1.2,0.02,-12.3,-12.1,right,right,1,-12.3,-73.2
56.0,8.0,11.0,7,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-85.3
56.0,8.0,11.0,8,-1.2,0.02,-12.3,-12.1,right,right,1,-12.3,-97.6
56.0,8.0,11.0,9,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-109.69999999999999
56.0,8.0,11.0,10,-1.2,0.02,-12.3,-12.1,right,right,1,-12.3,-121.99999999999999
56.0,8.0,11.0,11,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-134.1
56.0,8.0,11.0,12,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-146.2
56.0,8.0,11.0,13,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-158.29999999999998
56.0,8.0,11.0,14,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-170.39999999999998
56.0,8.0,11.0,15,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-182.49999999999997
56.0,8.0,11.0,16,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-194.59999999999997
56.0,8.0,11.0,17,-1.2,0.02,-12.3,-12.1,right,right,1,-12.3,-206.89999999999998
56.0,8.0,11.0,18,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-218.99999999999997
56.0,8.0,11.0,19,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-231.09999999999997
56.0,8.0,11.0,20,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-243.19999999999996
56.0,8.0,11.0,21,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-255.29999999999995
56.0,8.0,11.0,22,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-267.4
56.0,8.0,11.0,23,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-279.5
56.0,8.0,11.0,24,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-291.6
56.0,8.0,11.0,25,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-303.70000000000005
56.0,8.0,11.0,26,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-315.80000000000007
56.0,8.0,11.0,27,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-327.9000000000001
56.0,8.0,11.0,28,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-340.0000000000001
56.0,8.0,11.0,29,-1.2,0.02,-12.3,-12.1,right,right,1,-12.3,-352.3000000000001
56.0,8.0,11.0,30,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-364.40000000000015
56.0,8.0,11.0,31,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-376.50000000000017
56.0,8.0,11.0,32,-1.2,0.02,-12.3,-12.1,right,left,0,-12.1,-388.6000000000002
