Id,Order,Problem,Trial,High,Phigh,Low,Medium,risky_side,side,Choice,Payoff,total_points
45.0,5.0,10.0,1,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-1.5
45.0,5.0,10.0,2,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-3.3
45.0,5.0,10.0,3,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-4.8
45.0,5.0,10.0,4,-1.5,0.92,-6.4,-1.8,left,left,1,-6.4,-11.2
45.0,5.0,10.0,5,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-13.0
45.0,5.0,10.0,6,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-14.8
45.0,5.0,10.0,7,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-16.3
45.0,5.0,10.0,8,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-18.1
45.0,5.0,10.0,9,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-19.6
45.0,5.0,10.0,10,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-21.1
45.0,5.0,10.0,11,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-22.6
45.0,5.0,10.0,12,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-24.1
45.0,5.0,10.0,13,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-25.6
45.0,5.0,10.0,14,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-27.1
45.0,5.0,10.0,15,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-28.6
45.0,5.0,10.0,16,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-30.1
45.0,5.0,10.0,17,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-31.6
45.0,5.0,10.0,18,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-33.1
45.0,5.0,10.0,19,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-34.6
45.0,5.0,10.0,20,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-36.1
45.0,5.0,10.0,21,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-37.6
45.0,5.0,10.0,22,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-39.1
45.0,5.0,10.0,23,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-40.6
45.0,5.0,10.0,24,-1.5,0.92,-6.4,-1.8,left,left,1,-6.4,-47.0
45.0,5.0,10.0,25,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-48.8
45.0,5.0,10.0,26,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-50.3
45.0,5.0,10.0,27,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-51.8
45.0,5.0,10.0,28,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-53.3
45.0,5.0,10.0,29,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-54.8
45.0,5.0,10.0,30,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-56.3
45.0,5.0,10.0,31,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-57.8
45.0,5.0,10.0,32,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-59.3
45.0,5.0,10.0,33,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-60.8
45.0,5.0,10.0,34,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-62.3
45.0,5.0,10.0,35,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-63.8
45.0,5.0,10.0,36,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-65.3
45.0,5.0,10.0,37,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-66.8
45.0,5.0,10.0,38,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-68.3
45.0,5.0,10.0,39,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-69.8
45.0,5.0,10.0,40,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-71.3
45.0,5.0,10.0,41,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-72.8
45.0,5.0,10.0,42,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-74.3
45.0,5.0,10.0,43,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-75.8
45.0,5.0,10.0,44,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-77.3
45.0,5.0,10.0,45,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-78.8
45.0,5.0,10.0,46,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-80.3
45.0,5.0,10.0,47,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-81.8
45.0,5.0,10.0,48,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-83.3
45.0,5.0,10.0,49,-1.5,0.92,-6.4,-1.8,left,left,1,-6.4,-89.7
45.0,5.0,10.0,50,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-91.5
45.0,5.0,10.0,51,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-93.3
45.0,5.0,10.0,52,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-95.1
45.0,5.0,10.0,53,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-96.89999999999999
45.0,5.0,10.0,54,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-98.69999999999999
45.0,5.0,10.0,55,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-100.49999999999999
45.0,5.0,10.0,56,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-102.29999999999998
45.0,5.0,10.0,57,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-103.79999999999998
45.0,5.0,10.0,58,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-105.29999999999998
45.0,5.0,10.0,59,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-106.79999999999998
45.0,5.0,10.0,60,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-108.29999999999998
45.0,5.0,10.0,61,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-109.79999999999998
45.0,5.0,10.0,62,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-111.29999999999998
45.0,5.0,10.0,63,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-112.79999999999998
45.0,5.0,10.0,64,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-114.29999999999998
45.0,5.0,10.0,65,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-115.79999999999998
45.0,5.0,10.0,66,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-117.29999999999998
45.0,5.0,10.0,67,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-118.79999999999998
45.0,5.0,10.0,68,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-120.29999999999998
45.0,5.0,10.0,69,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-121.79999999999998
45.0,5.0,10.0,70,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-123.29999999999998
45.0,5.0,10.0,71,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-124.79999999999998
45.0,5.0,10.0,72,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-126.29999999999998
45.0,5.0,10.0,73,-1.5,0.92,-6.4,-1.8,left,left,1,-6.4,-132.7
45.0,5.0,10.0,74,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-134.5
45.0,5.0,10.0,75,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-136.0
45.0,5.0,10.0,76,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-137.5
45.0,5.0,10.0,77,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-139.0
45.0,5.0,10.0,78,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-140.5
45.0,5.0,10.0,79,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-142.0
45.0,5.0,10.0,80,-1.5,0.92,-6.4,-1.8,left,left,1,-1.5,-143.5
45.0,5.0,10.0,81,-1.5,0.92,-6.4,-1.8,left,left,1,-6.4,-149.9
45.0,5.0,10.0,82,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-151.70000000000002
45.0,5.0,10.0,83,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-153.50000000000003
45.0,5.0,10.0,84,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-155.30000000000004
45.0,5.0,10.0,85,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-157.10000000000005
45.0,5.0,10.0,86,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-158.90000000000006
45.0,5.0,10.0,87,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-160.70000000000007
45.0,5.0,10.0,88,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-162.50000000000009
45.0,5.0,10.0,89,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-164.3000000000001
45.0,5.0,10.0,90,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-166.1000000000001
45.0,5.0,10.0,91,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-167.90000000000012
45.0,5.0,10.0,92,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-169.70000000000013
45.0,5.0,10.0,93,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-171.50000000000014
45.0,5.0,10.0,94,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-173.30000000000015
45.0,5.0,10.0,95,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-175.10000000000016
45.0,5.0,10.0,96,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-176.90000000000018
45.0,5.0,10.0,97,-1.5,0.92,-6.4,-1.8,left,left,1,-6.4,-183.30000000000018
45.0,5.0,10.0,98,-1.5,0.92,-6.4,-1.8,left,right,0,-1.8,-185.1000000000002
