Id,Order,Problem,Trial,High,Phigh,Low,Medium,risky_side,side,Choice,Payoff,total_points
4.0,2.0,24.0,1,9.2,0.05,-9.5,-7.5,left,left,1,-9.5,-9.5
4.0,2.0,24.0,2,9.2,0.05,-9.5,-7.5,left,right,0,-7.5,-17.0
4.0,2.0,24.0,3,9.2,0.05,-9.5,-7.5,left,left,1,-9.5,-26.5
4.0,2.0,24.0,4,9.2,0.05,-9.5,-7.5,left,right,0,-7.5,-34.0
4.0,2.0,24.0,5,9.2,0.05,-9.5,-7.5,left,left,1,-9.5,-43.5
4.0,2.0,24.0,6,9.2,0.05,-9.5,-7.5,left,right,0,-7.5,-51.0
4.0,2.0,24.0,7,9.2,0.05,-9.5,-7.5,left,left,1,-9.5,-60.5
4.0,2.0,24.0,8,9.2,0.05,-9.5,-7.5,left,right,0,-7.5,-68.0
4.0,2.0,24.0,9,9.2,0.05,-9.5,-7.5,left,right,0,-7.5,-75.5
4.0,2.0,24.0,10,9.2,0.05,-9.5,-7.5,left,right,0,-7.5,-83.0
4.0,2.0,24.0,11,9.2,0.05,-9.5,-7.5,left,left,1,-9.5,-92.5
4.0,2.0,24.0,12,9.2,0.05,-9.5,-7.5,left,right,0,-7.5,-100.0
4.0,2.0,24.0,13,9.2,0.05,-9.5,-7.5,left,left,1,-9.5,-109.5
4.0,2.0,24.0,14,9.2,0.05,-9.5,-7.5,left,right,0,-7.5,-117.0
4.0,2.0,24.0,15,9.2,0.05,-9.5,-7.5,left,right,0,-7.5,-124.5
4.0,2.0,24.0,16,9.2,0.05,-9.5,-7.5,left,left,1,-9.5,-134.0
4.0,2.0,24.0,17,9.2,0.05,-9.5,-7.5,left,right,0,-7.5,-141.5
4.0,2.0,24.0,18,9.2,0.05,-9.5,-7.5,left,right,0,-7.5,-149.0
4.0,2.0,24.0,19,9.2,0.05,-9.5,-7.5,left,left,1,-9.5,-158.5
4.0,2.0,24.0,20,9.2,0.05,-9.5,-7.5,left,right,0,-7.5,-166.0
